year,month,ts,fishery,bin,value,week
1990,2,153,8,150,0,1
1990,2,153,8,152,0,1
1990,2,153,8,154,0,1
1990,2,153,8,156,0,1
1990,2,153,8,158,0,1
1990,2,153,8,160,0,1
1990,2,153,8,162,0,1
1990,2,153,8,164,0,1
1990,2,153,8,166,0,1
1990,2,153,8,168,0,1
1990,2,153,8,170,0,1
1990,2,153,8,172,0,1
1990,2,153,8,174,0,1
1990,2,153,8,176,0,1
1990,2,153,8,178,0,1
1990,2,153,8,180,0,1
1990,2,153,8,182,0,1
1990,2,153,8,184,0,1
1990,2,153,8,186,0,1
1990,2,153,8,188,0,1
1990,2,153,8,190,0,1
1990,2,153,8,192,0,1
1990,2,153,8,194,0,1
1990,2,153,8,196,0,1
1990,2,153,8,198,0,1
1990,5,154,8,10,0,1
1990,5,154,8,12,0,1
1990,5,154,8,14,0,1
1990,5,154,8,16,0,1
1990,5,154,8,18,0,1
1990,5,154,8,20,0,1
1990,5,154,8,22,0,1
1990,5,154,8,24,0,1
1990,5,154,8,26,0,1
1990,5,154,8,28,0,1
1990,5,154,8,30,0,1
1990,5,154,8,32,0,1
1990,5,154,8,34,1.41952746728224,1
1990,5,154,8,36,7.49610681565713,1
1990,5,154,8,38,37.1005409851299,1
1990,5,154,8,40,31.0375040454097,1
1990,5,154,8,42,34.5433577476651,1
1990,5,154,8,44,58.3901284588902,1
1990,5,154,8,46,101.319369481015,1
1990,5,154,8,48,153.832913190226,1
1990,5,154,8,50,264.178852460867,1
1990,5,154,8,52,197.491002747855,1
1990,5,154,8,54,128.138918350542,1
1990,5,154,8,56,61.4223743782584,1
1990,5,154,8,58,25.6687148397018,1
1990,5,154,8,60,11.0449254838627,1
1990,5,154,8,62,22.1479677842926,1
1990,5,154,8,64,15.7049377514167,1
1990,5,154,8,66,14.2989526927891,1
1990,5,154,8,68,12.1561190832111,1
1990,5,154,8,70,1.41952746728224,1
1990,5,154,8,72,2.12929120092336,1
1990,5,154,8,74,1.41952746728224,1
1990,5,154,8,76,0.35488186682056,1
1990,5,154,8,78,1.06464560046168,1
1990,5,154,8,80,0.709763733641121,1
1990,5,154,8,82,0,1
1990,5,154,8,84,0.35488186682056,1
1990,5,154,8,86,0.35488186682056,1
1990,5,154,8,88,0,1
1990,5,154,8,90,0.35488186682056,1
1990,5,154,8,92,0.709763733641121,1
1990,5,154,8,94,1.41952746728224,1
1990,5,154,8,96,1.41952746728224,1
1990,5,154,8,98,8.93213707805538,1
1990,5,154,8,100,2.48417306774392,1
1990,5,154,8,102,5.70815507289965,1
1990,5,154,8,104,2.83905493456448,1
1990,5,154,8,106,7.14032951339814,1
1990,5,154,8,108,4.63875821509979,1
1990,5,154,8,110,2.49682004096017,1
1990,5,154,8,112,0,1
1990,5,154,8,114,0,1
1990,5,154,8,116,0,1
1990,5,154,8,118,0,1
1990,5,154,8,120,0,1
1990,5,154,8,122,0,1
1990,5,154,8,124,0,1
1990,5,154,8,126,0,1
1990,5,154,8,128,0,1
1990,5,154,8,130,0,1
1990,5,154,8,132,0,1
1990,5,154,8,134,0,1
1990,5,154,8,136,0,1
1990,5,154,8,138,0,1
1990,5,154,8,140,0,1
1990,5,154,8,142,0,1
1990,5,154,8,144,0,1
1990,5,154,8,146,0,1
1990,5,154,8,148,0,1
1990,5,154,8,150,0,1
1990,5,154,8,152,0,1
1990,5,154,8,154,0,1
1990,5,154,8,156,0,1
1990,5,154,8,158,0,1
1990,5,154,8,160,0,1
1990,5,154,8,162,0,1
1990,5,154,8,164,0,1
